run_id,scenario,condition,latency,tamper,applicable,target_index,records_clean,m,verifier,detected,expected,errors
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T5c,1,21,22,12,V4,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T5c,1,21,22,12,V4p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V1,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V2,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V3,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V3p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V4,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T6,1,19,22,12,V4p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V1,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V2,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V3,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V3p,1,D,checkpoint mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V4,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T7,1,,22,12,V4p,1,D,checkpoint mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V1,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V2,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V3,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V3p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V4,1,D,silent_violation-monitor-l6-c0-b1-complete: checkpoint mismatch; silent_violation-monitor-l6-c0-b1-complete: record count mismatch
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8a,1,22,22,12,V4p,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V1,0,N,
silent_violation-monitor-l6-c0-b1-complete,silent_violation,monitor,6,T8b,1,22,22,12,V2,0,N,
